編號,地址,lat,lon,label
原點,花蓮縣吉安鄉南海四街235號,23.9531092,121.5895253,
A101,花蓮市中正路210號,23.9719051,121.5995633,11
A102,吉安鄉自強路533號,23.9871156,121.5920417,6
A104,花蓮市中華路298號,23.9751692,121.5987604,12
A105,花蓮縣壽豐鄉魚池45號,23.8593411,121.5598345,54
A108,花蓮市中央路三段700號,23.9910315,121.5906522,9
A110,花蓮市中山路540號,23.991688,121.5980731,35
A111,吉安鄉中華路二段11-1號,23.9739463,121.5875684,35
A112,花蓮市中山路600號,23.9929772,121.5972412,35
A116,花蓮市中央路三段700號,23.9910315,121.5906522,9
A118,花蓮市中正路600號,23.9794291,121.6111823,27
A119,吉安鄉吉豐路二段370號,23.9591301,121.5703573,5
A206,新城鄉精舍街88巷1號,24.0545366,121.6017492,9
A207,新城鄉康樂村加灣17號,24.0796115,121.6093231,1
A208,花蓮市尚志路63號,24.0021969,121.6135147,4
A209,吉安鄉自立路76號,23.986622,121.5959287,6
A211,花蓮市民國路157號,23.9805136,121.6079641,52
A211-1,吉安鄉中華路二段90號,23.9739155,121.5861377,70
A212,新城鄉廣安三街6巷8號,24.0504078,121.6108685,13
A207,新城鄉康樂村海灣,24.0548042,121.6111949,4
A213,花蓮市忠義一街23-2號,23.9915081,121.6331286,12
A214,花蓮市中正路400號,23.9748693,121.6039671,1
A218,壽豐鄉溪口村,23.8202852,121.4741827,1
A303,秀林鄉天祥路30號,24.184445,121.495985,6
A306,花蓮市中山路199-2號,23.9771028,121.6091616,36
A309,吉安鄉建國路二段378號,23.9927937,121.5756856,15
A310,花蓮縣新城鄉七星街58號,24.0269756,121.6311087,4
A313,花蓮市中興路41號,23.9921521,121.6309865,7
A315,花蓮市復興街36號,23.9765803,121.6108598,3
A316,花蓮市中正路30號,23.9690786,121.5951999,3
A320,花蓮市介仁街178號,23.9998963,121.5740123,47
A322,花蓮市國興五街200號,23.9872018,121.6002721,27
A324,秀林鄉天祥路18號,24.184445,121.495985,5
A325,壽豐鄉魚池路,23.8609174,121.5235279,3
A329,花蓮市國聯五路18號,23.9893157,121.6060282,11
A330,花蓮市富安路60號,23.9938155,121.5988619,27
A331,花蓮市和平路88號,23.9688367,121.6077139,35
A334,吉安鄉北昌一街15巷27-23號,23.9838925,121.5944705,17
C001,花蓮市林森路68號,23.9760541,121.5977704,14
C002,吉安鄉光華街100號,23.9313622,121.5838857,9
C004,吉安鄉光華二街422號,23.9282878,121.5765065,25
